,id,carat,cut,color,clarity,depth,table,price
0,0,0.3,3,3,5,62.8,56.0,605
1,1,0.34,1,2,6,62.6,55.0,565
2,2,0.4,3,1,6,60.3,62.0,720
3,3,0.4,2,5,4,61.8,59.2,793
4,4,0.9,3,1,6,61.0,63.0,4381
5,5,0.6,1,1,6,61.7,56.0,2263
6,6,0.32,4,2,6,63.1,54.0,524
7,7,0.3,2,2,5,60.0,60.0,844
8,8,0.52,2,4,5,62.4,56.0,1577
9,9,0.41,3,2,6,61.8,60.0,705
10,10,0.31,1,4,7,61.6,55.6,429
11,11,0.31,2,4,4,61.8,59.0,625
12,12,0.7,5,5,6,65.5,57.0,1865
13,13,0.75,2,4,7,61.0,58.0,2216
14,14,1.14,1,5,6,61.5,55.0,7079
15,15,0.8,3,3,4,63.7,56.0,3460
16,16,2.01,1,5,6,62.1,56.0,14725
17,17,1.21,1,5,3,61.3,56.0,8950
18,18,0.9,4,7,6,64.0,61.0,2873
19,19,1.51,3,2,5,60.1,58.0,14889
20,20,0.3,1,5,3,61.1,55.0,605
21,21,0.52,1,2,3,62.0,54.0,2230
22,22,0.58,3,2,6,61.5,58.0,1424
23,23,0.72,2,3,5,62.7,59.0,2584
24,24,0.4,3,1,3,62.2,54.0,1263
25,25,1.24,2,3,4,58.0,58.0,9930
26,26,0.25,3,2,2,60.0,56.0,575
27,27,0.4,2,3,5,61.6,58.0,842
28,28,0.6,1,2,6,61.3,56.0,1890
29,29,0.7,2,6,2,61.2,59.0,2536
30,30,0.63,3,4,7,63.3,59.0,1105
31,31,1.2,3,6,6,62.6,57.0,5476
32,32,1.12,2,7,6,62.7,55.0,4064
33,33,0.4,2,4,2,61.5,58.0,1200
34,34,0.31,1,2,5,61.8,56.0,872
35,35,1.51,3,5,7,60.2,59.0,8444
36,36,0.5,2,3,5,60.7,58.0,1654
37,37,0.27,3,2,3,61.2,60.0,606
38,38,0.79,2,3,7,62.2,57.0,2555
39,39,0.33,2,6,3,61.0,58.0,743
40,40,0.75,1,2,7,62.1,57.0,2278
41,41,1.24,2,5,4,61.2,59.0,7358
42,42,0.59,3,4,4,62.5,53.0,1942
43,43,0.33,3,2,7,60.0,59.0,463
44,44,0.3,1,6,3,63.0,57.0,765
45,45,1.54,1,3,5,61.9,57.0,12978
46,46,1.06,3,2,3,63.4,55.0,9680
47,47,0.51,3,2,4,62.8,57.1,1970
48,48,0.9,3,3,7,62.4,58.0,3569
49,49,0.7,3,1,6,62.6,57.0,2726
50,50,0.31,2,3,5,60.7,61.0,749
51,51,0.61,4,2,6,61.3,61.0,1793
52,52,1.04,2,5,6,62.6,59.0,4890
53,53,1.54,2,2,6,59.3,60.0,11795
54,54,0.53,2,1,5,62.4,59.0,1783
55,55,1.05,3,6,5,63.2,59.0,4986
56,56,1.02,2,1,6,62.5,59.0,5998
57,57,0.7,4,3,4,63.8,58.0,2919
58,58,0.49,4,3,4,58.9,60.5,1430
59,59,0.42,2,3,3,61.7,59.0,1142
60,60,0.34,3,5,6,63.3,56.0,628
61,61,0.77,1,2,7,62.3,57.0,2689
62,62,1.01,2,5,6,61.8,59.0,4965
63,63,0.92,3,4,6,63.8,57.0,3724
64,64,0.4,4,2,6,63.7,56.0,687
65,65,1.01,4,1,4,62.2,62.0,7303
66,66,0.32,1,2,7,62.0,55.0,576
67,67,0.5,2,4,4,59.7,60.0,1746
68,68,0.72,1,1,6,60.8,57.0,2782
69,69,0.34,1,4,1,61.9,57.0,1084
70,70,1.2,1,4,3,61.7,57.0,7688
71,71,0.42,1,4,4,61.0,56.0,1055
72,72,0.72,1,6,5,61.7,56.0,2650
73,73,1.0,2,3,6,62.2,58.0,4586
74,74,0.7,2,4,6,61.6,61.0,2285
75,75,1.7,1,2,7,61.6,57.0,9139
76,76,1.01,3,4,5,63.6,56.0,6449
77,77,0.77,1,1,5,61.8,56.0,3721
78,78,0.3,1,3,2,61.6,57.0,1041
79,79,1.02,2,2,7,59.6,59.0,4478
80,80,1.06,2,4,6,61.5,59.0,5113
81,81,0.42,2,3,4,60.9,59.0,1103
82,82,0.7,3,2,4,63.4,56.0,3107
83,83,1.19,3,2,6,58.0,63.0,5956
84,84,0.7,2,2,6,60.5,58.0,2777
85,85,1.53,4,3,4,60.8,61.0,15619
86,86,1.02,1,5,6,59.9,56.0,5079
87,87,0.97,2,3,7,61.9,58.0,4063
88,88,0.36,2,3,6,61.1,59.0,600
89,89,1.22,2,4,4,61.6,60.0,7850
90,90,0.32,1,1,7,62.8,57.0,612
91,91,0.3,1,1,4,60.8,56.0,885
92,92,0.57,1,5,1,62.2,56.0,2195
93,93,0.9,2,2,7,59.2,60.0,3701
94,94,0.43,4,3,6,63.6,53.0,739
95,95,2.18,1,6,6,61.2,56.0,15646
96,96,0.33,1,6,5,62.4,56.0,463
97,97,0.31,3,2,3,60.8,55.0,816
98,98,1.71,3,3,6,63.3,53.0,13152
99,99,0.42,3,2,6,59.8,61.0,722
100,100,0.3,1,3,2,62.0,58.0,814
101,101,0.32,1,3,3,60.9,56.0,800
102,102,0.3,2,3,5,62.2,60.0,776
103,103,2.13,2,4,7,60.7,60.0,16778
104,104,0.33,2,2,6,62.2,59.0,743
105,105,0.31,1,4,4,61.0,55.0,625
106,106,0.9,3,1,6,62.5,59.0,4579
107,107,1.1,3,6,4,61.0,59.0,4878
108,108,0.37,1,4,5,60.3,56.0,682
109,109,0.4,3,2,6,63.0,57.0,687
110,110,0.42,2,2,6,62.3,58.0,992
111,111,0.34,1,3,2,61.4,55.0,919
112,112,1.21,1,7,6,61.9,54.0,5341
113,113,2.0,2,5,6,59.8,60.0,14126
114,114,0.3,3,2,4,61.4,59.0,653
115,115,0.38,3,4,2,59.9,56.0,970
116,116,2.01,3,3,7,63.3,59.0,11925
